title,제작년도,장르,연령,poster_url
나루토 질풍전 7기,2010,"애니메이션, 액션, 어드벤처","'전체관람가', '85분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1322A5014CD972A216"""
나루토 질풍전 6기,2009,"애니메이션, 액션","'전체관람가', '95분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F12695D114AAFE0830C"""
나루토 질풍전 5기,2012,"애니메이션, 액션","'전체관람가', '109분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2108A64E50EF704604"""
블리치 1기,2006,"판타지, 어드벤처, 애니메이션",'87분',"""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F136F1B10AB14ED4A22"""
나루토 질풍전 2기,2008,"애니메이션, 액션",'90분',"""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F14497F10B13C315C49"""
나루토 질풍전 9기,2012,"애니메이션, 액션","'전체관람가', '109분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2108A64E50EF704604"""
나루토 질풍전 8기,2011,"애니메이션, 액션, 어드벤처","'12세이상관람가', '94분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2055C7494F18CD1331"""
사채꾼 우시지마 3,2016,"드라마, 코미디",'131분',"""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2Fd5d1c88912fa6ff77ecec95a62719e5bdb3bc718"""
진 1,2015,"액션, 어드벤처","'15세이상관람가', '99분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2Fb6ebd49148b426d1f0a8f540d5ddb9d62e2c0276"""
라이프온마스,2013,코미디,'4분',"""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2Fcbc537b8620a7504ecde604dfb2df619cae44b00"""
원더우먼 2,2020,"액션, 어드벤처, 판타지","'12세이상관람가', '151분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fmovie%2Fb1720df6b54fb7632590d5d05edd986a28433c9b"""
원더우먼 1,2017,"액션, 어드벤처, 판타지, SF","'12세이상관람가', '141분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F470b49fcc84578a82eae7a0b3f3247c572ebcd37"""
시그널 장기미제사건 수사반,2020,"드라마, 범죄","'12세이상관람가', '121분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fmovie%2Fd241cc8046e67a0230a48c67effed151ed03a901"""
명탐정코난 12기,2008,"애니메이션, 미스터리","'12세이상관람가', '116분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F4ce6cdbfa33d436688a2f22f62cb4bbc1546575020767"""
명탐정코난 1기,1997,"애니메이션, 미스터리, 범죄",'95분',"""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1546C810ADECC7816D"""
명탐정코난 11기,2007,"애니메이션, 미스터리, 범죄","'12세이상관람가', '106분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F3db01a68b29da7343dc0d050e771f2b0bdea7106"""
꽃보다남자,2008,"코미디, 로맨스/멜로","'12세이상관람가', '130분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F154D8810B179F7319B"""
인생은아름다워,2020,뮤지컬,"'12세이상관람가', '122분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fmovie%2Fcfe6a6b2431cb364e2330f417c3866e2fad97b18"""
중섭,2014,다큐멘터리,"'전체관람가', '80분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F880119d3d07f7bade9d82740e39e95b6362378ea"""
아테나 전쟁의여신,2011,"액션, 로맨스/멜로","'15세이상관람가', '118분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F136EFB494FBDC6530A"""
미안하다사랑한다,2006,애니메이션,'33분',"""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F213FB14B53CFCE522D"""
공항가는 길,2005,드라마,'23분',"""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1745950F4CB30B6221"""
세상에서가장아름다운이별,2011,"가족, 드라마","'15세이상관람가', '125분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F147588514D88397534"""
개구리중사 케로로 5,2010,"애니메이션, 코미디, 어드벤처","'전체관람가', '74분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F154235204B9F03014C"""
개구리중사 케로로 4,2009,"코미디, 어드벤처, 애니메이션","'전체관람가', '75분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1131E50D49C88EFD38"""
만담강호,2017,"코미디, 액션, 애니메이션","'청소년관람불가', '73분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2Fbb33eb96ec419b9a5979b17800de48e032736a8c"""
짱구는못말려 16기,2008,"애니메이션, 코미디, 어드벤처",'93분',"""https://img1.daumcdn.net/thumb/C256x376/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fmovie%2Fe6da7afdbad2e8d5095197d9455d696f9ef20e5c"""
귀멸의 칼날  무한열차편,2020,"애니메이션, 판타지, 액션, 시대극","'15세이상관람가', '117분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fmovie%2Fe2733bbc22a93d16bace5658738322df204bbf01"""
이누야샤 3기,2003,"코미디, 액션, 애니메이션","'청소년관람불가', '98분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1446C810AE46EFF4D0"""
S.W.A.T 2,2011,"액션, 범죄, 스릴러","'15세이상관람가', '88분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F141E135A4D74F2601E"""
심야식당 1,2014,드라마,"'15세이상관람가', '120분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F335a30807456eb831d0c4bc652499c2fdabe5869"""
사채꾼 우시지마 1,2012,드라마,'129분',"""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1169D03A503B6D1806"""
게임에 진심인편 근데 이제 예술을 곁들인,2022,다큐멘터리,'47분',"""https://img1.daumcdn.net/thumb/C256x376/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fmovie%2Fd735b689ab5cd745320f2ea745f7d84101cad48d"""
4인용 식탁,2003,스릴러,"'15세이상관람가', '125분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F146F1B10ABCA38814F"""
